L,R,focal,baseline,Sensor size,Image width,True D,True H
802,984,3.2,0.4,6.35,2592,182,5.4
925,1083,3.2,0.4,6.35,2592,158,6
938,1079,3.2,0.4,6.35,2592,141,6.6
982,1109,3.2,0.4,6.35,2592,127,7.2
1000,1118,3.2,0.4,6.35,2592,118,7.8
1042,1150,3.2,0.4,6.35,2592,108,8.4
1035,1135,3.2,0.4,6.35,2592,100,9
1072,1164,3.2,0.4,6.35,2592,92,9.6
1089,1174,3.2,0.4,6.35,2592,85,10.2
1094,1172,3.2,0.4,6.35,2592,78,10.8
1126,1198,3.2,0.4,6.35,2592,72,11.4
1119,1189,3.2,0.4,6.35,2592,70,12
1137,1201,3.2,0.4,6.35,2592,64,12.6
1158,1218,3.2,0.4,6.35,2592,60,13.2
1159,1215,3.2,0.4,6.35,2592,56,13.8
1145,1198,3.2,0.4,6.35,2592,53,14.4
1175,1224,3.2,0.4,6.35,2592,49,15
1161,1209,3.2,0.4,6.35,2592,48,15.6
1188,1235,3.2,0.4,6.35,2592,47,16.2
1182,1226,3.2,0.4,6.35,2592,44,16.8
1180,1221,3.2,0.4,6.35,2592,41,17.4
1197,1235,3.2,0.4,6.35,2592,38,18
1179,1215,3.2,0.4,6.35,2592,36,18.6
1185,1222,3.2,0.4,6.35,2592,37,19.2
1217,1250,3.2,0.4,6.35,2592,33,19.8
1215,1247,3.2,0.4,6.35,2592,32,20.4
1197,1228,3.2,0.4,6.35,2592,31,21
1202,1232,3.2,0.4,6.35,2592,30,21.6
1217,1244,3.2,0.4,6.35,2592,27,22.2
1219,1245,3.2,0.4,6.35,2592,26,22.8
1267,1291,3.2,0.4,6.35,2592,24,23.4
1233,1257,3.2,0.4,6.35,2592,24,24
1237,1259,3.2,0.4,6.35,2592,22,24.6
1238,1260,3.2,0.4,6.35,2592,22,25.2
1232,1255,3.2,0.4,6.35,2592,23,25.8
1262,1281,3.2,0.4,6.35,2592,19,26.4
1239,1258,3.2,0.4,6.35,2592,19,27
1206,1224,3.2,0.4,6.35,2592,18,27.6
1207,1224,3.2,0.4,6.35,2592,17,28.2
1170,1188,3.2,0.4,6.35,2592,18,28.8
1186,1202,3.2,0.4,6.35,2592,16,29.4
1221,1236,3.2,0.4,6.35,2592,15,30